id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
112,2008,CR Brathwaite,2008-05-25,KXIP,KKR,KXIP,CSK,normal,0,KKR,0,3,Umar Gul,Eden Gardens
113,2008,CR Brathwaite,2008-05-26,MI,RR,RR,CSK,normal,0,RR,0,5,Sohail Tanvir,Sawai Mansingh Stadium
114,2008,CR Brathwaite,2008-05-27,SRH,CSK,SRH,CSK,normal,0,CSK,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal"
115,2008,CR Brathwaite,2008-05-30,RR,DD,DD,CSK,normal,0,RR,105,0,SR Watson,Wankhede Stadium
116,2008,CR Brathwaite,2008-05-31,KXIP,CSK,KXIP,CSK,normal,0,CSK,0,9,M Ntini,Wankhede Stadium
117,2008,CR Brathwaite,2008-06-01,CSK,RR,RR,CSK,normal,0,RR,0,3,YK Pathan,Dr DY Patil Sports Academy
118,2009,CR Brathwaite,2009-04-18,MI,CSK,CSK,CSK,normal,0,MI,19,0,SR Tendulkar,Newlands
119,2009,CR Brathwaite,2009-04-18,RCB,RR,RCB,CSK,normal,0,RCB,75,0,R Dravid,Newlands
120,2009,CR Brathwaite,2009-04-19,KXIP,DD,DD,CSK,normal,1,DD,0,10,DL Vettori,Newlands
121,2009,CR Brathwaite,2009-04-19,KKR,SRH,KKR,CSK,normal,0,SRH,0,8,RP Singh,Newlands
122,2009,CR Brathwaite,2009-04-20,CSK,RCB,CSK,CSK,normal,0,CSK,92,0,M Muralitharan,St George's Park
123,2009,CR Brathwaite,2009-04-21,KXIP,KKR,KKR,CSK,normal,1,KKR,11,0,CH Gayle,Kingsmead
124,2009,CR Brathwaite,2009-04-22,SRH,RCB,SRH,CSK,normal,0,SRH,24,0,AC Gilchrist,Newlands
125,2009,CR Brathwaite,2009-04-23,DD,CSK,DD,CSK,normal,0,DD,9,0,AB de Villiers,Kingsmead
126,2009,CR Brathwaite,2009-04-23,RR,KKR,KKR,CSK,tie,0,RR,0,0,YK Pathan,Newlands
127,2009,CR Brathwaite,2009-04-24,RCB,KXIP,RCB,CSK,normal,0,KXIP,0,7,RS Bopara,Kingsmead
128,2009,CR Brathwaite,2009-04-25,SRH,MI,SRH,CSK,normal,0,SRH,12,0,PP Ojha,Kingsmead
129,2009,CR Brathwaite,2009-04-26,RCB,DD,RCB,CSK,normal,0,DD,0,6,TM Dilshan,St George's Park
130,2009,CR Brathwaite,2009-04-26,KXIP,RR,KXIP,CSK,normal,0,KXIP,27,0,KC Sangakkara,Newlands
131,2009,CR Brathwaite,2009-04-27,CSK,SRH,SRH,CSK,normal,0,SRH,0,6,HH Gibbs,Kingsmead
132,2009,CR Brathwaite,2009-04-27,MI,KKR,MI,CSK,normal,0,MI,92,0,SR Tendulkar,St George's Park
133,2009,CR Brathwaite,2009-04-28,DD,RR,DD,CSK,normal,0,RR,0,5,YK Pathan,SuperSport Park
134,2009,CR Brathwaite,2009-04-29,KKR,RCB,KKR,CSK,normal,0,RCB,0,5,MV Boucher,Kingsmead
135,2009,CR Brathwaite,2009-04-29,KXIP,MI,KXIP,CSK,normal,0,KXIP,3,0,KC Sangakkara,Kingsmead
136,2009,CR Brathwaite,2009-04-30,SRH,DD,DD,CSK,normal,0,DD,0,6,DP Nannes,SuperSport Park
137,2009,CR Brathwaite,2009-04-30,CSK,RR,RR,CSK,normal,0,CSK,38,0,SK Raina,SuperSport Park
138,2009,CR Brathwaite,2009-05-01,MI,KKR,MI,CSK,normal,0,MI,9,0,JP Duminy,Buffalo Park
139,2009,CR Brathwaite,2009-05-01,RCB,KXIP,RCB,CSK,normal,0,RCB,8,0,Yuvraj Singh,Kingsmead
140,2009,CR Brathwaite,2009-05-02,SRH,RR,SRH,CSK,normal,0,RR,0,3,YK Pathan,St George's Park
141,2009,CR Brathwaite,2009-05-02,CSK,DD,DD,CSK,normal,0,CSK,18,0,SB Jakati,New Wanderers Stadium
142,2009,CR Brathwaite,2009-05-03,KKR,KXIP,KKR,CSK,normal,0,KXIP,0,6,DPMD Jayawardene,St George's Park
143,2009,CR Brathwaite,2009-05-03,MI,RCB,MI,CSK,normal,0,RCB,0,9,JH Kallis,New Wanderers Stadium
144,2009,CR Brathwaite,2009-05-04,CSK,SRH,CSK,CSK,normal,0,CSK,78,0,MS Dhoni,Buffalo Park
145,2009,CR Brathwaite,2009-05-05,RR,KXIP,KXIP,CSK,normal,0,RR,78,0,GC Smith,Kingsmead
146,2009,CR Brathwaite,2009-05-05,KKR,DD,KKR,CSK,normal,0,DD,0,9,G Gambhir,Kingsmead
147,2009,CR Brathwaite,2009-05-06,SRH,MI,SRH,CSK,normal,0,SRH,19,0,RG Sharma,SuperSport Park
148,2009,CR Brathwaite,2009-05-07,RCB,RR,RR,CSK,normal,0,RR,0,7,A Singh,SuperSport Park
149,2009,CR Brathwaite,2009-05-07,CSK,KXIP,CSK,CSK,normal,1,CSK,12,0,ML Hayden,SuperSport Park
150,2009,CR Brathwaite,2009-05-08,MI,DD,MI,CSK,normal,0,DD,0,7,A Nehra,Buffalo Park
151,2009,CR Brathwaite,2009-05-09,SRH,KXIP,KXIP,CSK,normal,0,KXIP,0,3,DPMD Jayawardene,De Beers Diamond Oval
152,2009,CR Brathwaite,2009-05-09,RR,CSK,RR,CSK,normal,0,CSK,0,7,S Badrinath,De Beers Diamond Oval
153,2009,CR Brathwaite,2009-05-10,MI,RCB,MI,CSK,normal,0,MI,16,0,JP Duminy,St George's Park
154,2009,CR Brathwaite,2009-05-10,KKR,DD,DD,CSK,normal,0,DD,0,7,A Mishra,New Wanderers Stadium
155,2009,CR Brathwaite,2009-05-11,SRH,RR,SRH,CSK,normal,0,SRH,53,0,DR Smith,De Beers Diamond Oval
156,2009,CR Brathwaite,2009-05-12,KKR,RCB,RCB,CSK,normal,0,RCB,0,6,LRPL Taylor,SuperSport Park
157,2009,CR Brathwaite,2009-05-12,KXIP,MI,KXIP,CSK,normal,0,MI,0,8,Harbhajan Singh,SuperSport Park
158,2009,CR Brathwaite,2009-05-13,DD,SRH,SRH,CSK,normal,0,DD,12,0,R Bhatia,Kingsmead
159,2009,CR Brathwaite,2009-05-14,CSK,RCB,CSK,CSK,normal,0,RCB,0,2,LRPL Taylor,Kingsmead
160,2009,CR Brathwaite,2009-05-14,RR,MI,RR,CSK,normal,0,RR,2,0,SK Warne,Kingsmead
