id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue
419,2013,27,2013-04-28,7,4,4,1,normal,0,7,15,0,DA Warner,Shaheed Veer Narayan Singh International Stadium
420,2013,11,2013-04-29,5,10,10,1,normal,0,10,0,4,SV Samson,Sawai Mansingh Stadium
421,2013,6,2013-04-29,2,8,2,2,normal,0,2,4,0,RG Sharma,Wankhede Stadium
422,2013,2,2013-04-30,9,4,9,2,normal,0,9,37,0,MS Dhoni,Subrata Roy Sahara Stadium
423,2013,1,2013-05-01,2,1,2,2,normal,0,1,0,7,I Sharma,"Rajiv Gandhi International Stadium, Uppal"
424,2013,27,2013-05-01,6,7,6,2,normal,0,7,0,7,DA Warner,Shaheed Veer Narayan Singh International Stadium
425,2013,12,2013-05-02,9,8,9,2,normal,0,9,15,0,SK Raina,"MA Chidambaram Stadium, Chepauk"
426,2013,2,2013-05-02,5,4,5,2,normal,0,5,17,0,AB de Villiers,Subrata Roy Sahara Stadium
427,2013,7,2013-05-03,10,6,10,2,normal,0,6,0,8,YK Pathan,Eden Gardens
428,2013,1,2013-05-04,7,1,7,2,normal,0,1,0,6,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal"
429,2013,5,2013-05-14,5,8,8,1,normal,0,8,0,7,AC Gilchrist,M Chinnaswamy Stadium
430,2013,6,2013-05-05,2,9,2,2,normal,0,2,60,0,MG Johnson,Wankhede Stadium
431,2013,11,2013-05-05,4,10,4,2,normal,0,10,0,5,AM Rahane,Sawai Mansingh Stadium
432,2013,5,2013-04-09,1,5,1,2,normal,0,5,0,7,V Kohli,M Chinnaswamy Stadium
433,2013,11,2013-05-07,7,10,7,2,normal,0,10,0,9,AM Rahane,Sawai Mansingh Stadium
434,2013,6,2013-05-07,2,6,2,2,normal,0,2,65,0,SR Tendulkar,Wankhede Stadium
435,2013,1,2013-05-08,9,1,1,1,normal,0,9,77,0,SK Raina,"Rajiv Gandhi International Stadium, Uppal"
